11602,9,0
3975,37,0
16874,39,0
9120,27,0
19443,56,1
4307,47,1
17215,34,1
11186,17,2
12457,7,2
5656,6,2
10494,38,2
18023,57,2
6171,8,2
17830,0,3
2990,48,3
4135,52,3
6566,39,3
5664,47,3
17723,12,3
8134,22,3
6381,26,3
2531,9,5
11910,37,5
12767,16,5
10489,20,5
13853,50,5
16095,34,5
11303,5,6
18234,27,6
4581,49,6
9464,10,6
15961,42,7
13386,31,7
17024,8,7
2203,47,7
3328,6,8
14365,25,8
16631,4,8
8024,38,8
5145,30,9
18553,55,9
1672,1,9
6260,13,9
9612,52,9
5288,27,9
16173,45,9
982,39,9
7072,56,9
18792,35,9
18511,18,10
12535,12,10
8669,34,10
3613,26,11
6964,3,11
18714,16,12
19622,57,12
7555,58,12
17397,10,12
15310,17,13
1514,41,13
16032,50,13
10360,7,13
5184,48,14
669,11,14
13195,28,14
14376,22,14
12875,37,15
19559,38,15
1663,32,15
17973,0,15
4910,49,16
19512,47,16
9460,20,16
6502,16,17
15930,45,17
8981,54,17
248,56,17
13220,14,17
15999,42,17
17911,9,17
14337,4,18
1942,35,18
15741,15,19
12704,6,20
10666,48,20
698,6,20
13658,16,21
6551,37,21
18679,47,22
4230,9,22
18985,46,22
6703,42,23
17400,36,23
16894,3,23
6617,31,23
6756,5,23
14889,11,23
7910,30,24
1086,1,24
16168,9,24
5856,45,24
11413,7,24
4354,8,24
15395,27,24
608,0,25
13201,0,25
8132,58,25
17926,29,25
2845,45,26
17883,19,26
5446,25,26
6312,33,26
11225,52,27
17044,37,27
10647,16,27
3804,34,27
7606,56,28
4126,11,28
9600,26,28
10656,40,28
5487,6,29
19784,24,29
7455,32,29
6526,56,31
18462,14,31
14881,13,31
17976,53,31
960,30,31
14314,22,31
10582,50,32
3913,6,32
15860,56,33
1128,47,33
4463,16,34
628,56,34
15124,21,34
13504,13,35
5095,56,35
15874,44,35
10325,35,35
3245,39,36
19155,39,36
3663,11,37
1888,56,37
9239,1,37
9296,42,38
245,38,38
2913,58,38
11514,3,38
835,4,38
13192,2,38
2096,55,39
11883,55,39
11559,51,39
9095,39,39
2239,56,41
15821,27,41
8826,10,41
18837,12,41
2143,42,43
773,0,43
18757,39,43
15513,49,44
3378,14,44
582,27,44
14298,19,44
6957,54,45
8814,12,45
16685,45,45
9404,45,45
2422,18,46
7357,52,46
12833,6,46
7067,42,46
13028,24,46
12946,18,46
434,52,46
10598,17,47
2045,26,47
8492,34,47
8907,12,48
304,32,49
3398,18,50
14169,9,50
512,52,50
1426,56,50
19413,39,50
4590,48,52
16571,25,52
802,35,52
2682,56,52
11586,42,53
1785,37,53
17636,45,53
19905,7,54
975,48,54
3934,46,54
8698,59,54
10051,7,54
15612,20,55
9491,47,55
13382,12,56
5241,43,56
2389,47,57
9251,18,57
13171,56,57
7692,25,58
1962,49,60
9337,57,61
16858,37,61
18940,30,61
14856,7,61
70,37,61
19749,23,61
542,27,62
177,35,62
818,12,63
15496,58,63
9809,56,63
16688,51,64
12034,13,65
8566,11,65
17658,22,65
3568,53,66
18784,31,68
4577,25,70
1441,33,70
7665,42,71
6879,47,71
5929,34,71
13786,14,72
5952,6,72
10339,54,73
811,4,73
8257,34,73
17608,33,73
1092,54,73
14109,26,74
16331,17,75
4144,42,75
17161,50,75
8181,0,75
6197,54,75
3065,21,75
851,17,75
2406,42,75
16777,16,76
12101,39,76
15337,49,76
2891,37,76
6504,26,76
1137,36,77
2599,26,77
4499,38,77
18081,27,77
10692,47,79
19006,0,79
19774,15,80
1061,12,80
3091,55,80
13496,10,81
12433,58,81
14328,42,81
1151,38,82
6692,3,82
9712,48,83
107,37,83
19379,52,83
3788,34,83
2400,20,84
10480,32,84
15118,45,84
5828,1,84
10154,57,85
19004,49,85
2094,20,85
14530,25,85
7439,47,85
6765,34,85
5230,38,86
6867,39,86
2063,25,86
13665,26,86
5501,7,87
9706,34,87
10274,55,88
18458,38,88
9000,17,88
14034,31,89
7515,13,89
5424,54,89
17036,34,89
5761,44,89
13342,3,89
15559,39,90
2042,18,90
8713,12,91
6813,22,91
9927,46,91
939,10,91
5907,8,92
2557,6,92
6490,12,92
236,6,92
14059,9,93
18586,30,93
4431,3,93
13656,5,94
371,28,94
19654,19,94
5940,52,94
15794,32,94
8230,39,94
18218,20,94
13017,16,95
16387,9,95
19459,20,95
2004,26,95
772,45,95
1519,5,96
11570,58,96
16592,27,96
10194,40,96
16871,35,96
8582,4,96
13744,57,97
4623,5,97
10265,59,97
809,48,99
8716,16,99
13864,4,99
14917,58,99
19664,52,99
13049,16,99
16170,13,100
5527,38,100
18416,16,100
13621,56,101
11175,33,101
15109,24,101
2956,28,101
6569,7,102
19804,8,102
19047,1,103
19699,31,103
6791,37,104
5672,45,105
10467,41,106
13766,7,106
11756,47,107
19008,31,107
2338,10,107
3684,14,108
13594,42,109
5510,49,109
1374,29,109
3264,6,109
17461,22,109
6279,6,110
7060,10,110
